序号,Entry_ID,Conversation_ID,处理时间,错误信息
1,AAMkADJmZmVhZGYyLWE5ZjUtNGViOC04NjkyLTI5NDgyYWVhNGIxOABGAAAAAADxa4UYIhrgRbkZ-uHi0CW_BwDg3eTbpaKZTq-jlXa4E8XlAAEx5TPxAADg3eTbpaKZTq-jlXa4E8XlAAKAZFVFAAA=,0004240032666665616466322D613966352D346562382D383639322D32393438326165613462313800100000026AD23063456C89B699DC95F3D781,602.13s,处理失败: 
2,AAMkADJmZmVhZGYyLWE5ZjUtNGViOC04NjkyLTI5NDgyYWVhNGIxOABGAAAAAADxa4UYIhrgRbkZ-uHi0CW_BwDg3eTbpaKZTq-jlXa4E8XlAAEx5TPxAADg3eTbpaKZTq-jlXa4E8XlAAKC-UMnAAA=,0004240032666665616466322D613966352D346562382D383639322D323934383261656134623138001000002828AACCC5564AA5B8016FB0B0,602.00s,处理失败: 
3,AAMkADJmZmVhZGYyLWE5ZjUtNGViOC04NjkyLTI5NDgyYWVhNGIxOABGAAAAAADxa4UYIhrgRbkZ-uHi0CW_BwDg3eTbpaKZTq-jlXa4E8XlAAEx5TPxAADg3eTbpaKZTq-jlXa4E8XlAAJ_cX1MAAA=,0004240032666665616466322D613966352D346562382D383639322D3239343832616561346231380010000075809493835840A7BA0B92A818E9B8,N/A,无法获取邮件数据: AAMkADJmZmVhZGYyLWE5ZjUtNGViOC04NjkyLTI5NDgyYWVhNGIxOABGAAAAAADxa4UYIhrgRbkZ-uHi0CW_BwDg3eTbpaKZTq-jlXa4E8XlAAEx5TPxAADg3eTbpaKZTq-jlXa4E8XlAAJ_cX1MAAA=
4,AAMkADJmZmVhZGYyLWE5ZjUtNGViOC04NjkyLTI5NDgyYWVhNGIxOABGAAAAAADxa4UYIhrgRbkZ-uHi0CW_BwDg3eTbpaKZTq-jlXa4E8XlAAEx5TPxAADg3eTbpaKZTq-jlXa4E8XlAAKHer29AAA=,0004240032666665616466322D613966352D346562382D383639322D3239343832616561346231380010000148B6D858A44AB689C861F69AACD0E7,601.65s,处理失败: 
5,AAMkADJmZmVhZGYyLWE5ZjUtNGViOC04NjkyLTI5NDgyYWVhNGIxOABGAAAAAADxa4UYIhrgRbkZ-uHi0CW_BwDg3eTbpaKZTq-jlXa4E8XlAAEx5TPxAADg3eTbpaKZTq-jlXa4E8XlAAKHer4WAAA=,0004240032666665616466322D613966352D346562382D383639322D32393438326165613462313800100002370694673D9640A1042C0201BB8574,N/A,无法获取邮件数据: AAMkADJmZmVhZGYyLWE5ZjUtNGViOC04NjkyLTI5NDgyYWVhNGIxOABGAAAAAADxa4UYIhrgRbkZ-uHi0CW_BwDg3eTbpaKZTq-jlXa4E8XlAAEx5TPxAADg3eTbpaKZTq-jlXa4E8XlAAKHer4WAAA=
6,AAMkADJmZmVhZGYyLWE5ZjUtNGViOC04NjkyLTI5NDgyYWVhNGIxOABGAAAAAADxa4UYIhrgRbkZ-uHi0CW_BwDg3eTbpaKZTq-jlXa4E8XlAAEx5TPxAADg3eTbpaKZTq-jlXa4E8XlAAKEZNGgAAA=,0004240032666665616466322D613966352D346562382D383639322D32393438326165613462313800100002A27F70948042D49861E5C20AD3ECBA,N/A,无法获取邮件数据: AAMkADJmZmVhZGYyLWE5ZjUtNGViOC04NjkyLTI5NDgyYWVhNGIxOABGAAAAAADxa4UYIhrgRbkZ-uHi0CW_BwDg3eTbpaKZTq-jlXa4E8XlAAEx5TPxAADg3eTbpaKZTq-jlXa4E8XlAAKEZNGgAAA=
7,AAMkADJmZmVhZGYyLWE5ZjUtNGViOC04NjkyLTI5NDgyYWVhNGIxOABGAAAAAADxa4UYIhrgRbkZ-uHi0CW_BwDg3eTbpaKZTq-jlXa4E8XlAAEx5TPxAADg3eTbpaKZTq-jlXa4E8XlAAKFq75DAAA=,0004240032666665616466322D613966352D346562382D383639322D32393438326165613462313800100002B6C20F64BB024AB5416990944B2D74,602.30s,处理失败: 
8,AAMkADJmZmVhZGYyLWE5ZjUtNGViOC04NjkyLTI5NDgyYWVhNGIxOABGAAAAAADxa4UYIhrgRbkZ-uHi0CW_BwDg3eTbpaKZTq-jlXa4E8XlAAEx5TPxAADg3eTbpaKZTq-jlXa4E8XlAAJ_cXqjAAA=,0004240032666665616466322D613966352D346562382D383639322D32393438326165613462313800100002DEE50B3128429392DEE6114A33DECC,N/A,无法获取邮件数据: AAMkADJmZmVhZGYyLWE5ZjUtNGViOC04NjkyLTI5NDgyYWVhNGIxOABGAAAAAADxa4UYIhrgRbkZ-uHi0CW_BwDg3eTbpaKZTq-jlXa4E8XlAAEx5TPxAADg3eTbpaKZTq-jlXa4E8XlAAJ_cXqjAAA=
9,AAMkADJmZmVhZGYyLWE5ZjUtNGViOC04NjkyLTI5NDgyYWVhNGIxOABGAAAAAADxa4UYIhrgRbkZ-uHi0CW_BwDg3eTbpaKZTq-jlXa4E8XlAAEx5TPxAADg3eTbpaKZTq-jlXa4E8XlAAKC-USfAAA=,0004240032666665616466322D613966352D346562382D383639322D32393438326165613462313800100002E623762979294CB73EC99519A7ADB6,N/A,无法获取邮件数据: AAMkADJmZmVhZGYyLWE5ZjUtNGViOC04NjkyLTI5NDgyYWVhNGIxOABGAAAAAADxa4UYIhrgRbkZ-uHi0CW_BwDg3eTbpaKZTq-jlXa4E8XlAAEx5TPxAADg3eTbpaKZTq-jlXa4E8XlAAKC-USfAAA=
10,AAMkADJmZmVhZGYyLWE5ZjUtNGViOC04NjkyLTI5NDgyYWVhNGIxOABGAAAAAADxa4UYIhrgRbkZ-uHi0CW_BwDg3eTbpaKZTq-jlXa4E8XlAAEx5TPxAADg3eTbpaKZTq-jlXa4E8XlAAKEZNLqAAA=,0004240032666665616466322D613966352D346562382D383639322D3239343832616561346231380010000380679773E3DF468D886449F3CC148A,33.87s,处理失败: [Errno 54] Connection reset by peer
